,losing_abbr,losing_name,winner,winning_name,Year,SEED_higher,SEED_lower,TEAM_higher,G_higher,W_higher,ADJOE_higher,ADJDE_higher,BARTHAG_higher,EFG_O_higher,EFG_D_higher,TOR_higher,TORD_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,2P_O_higher,2P_D_higher,3P_O_higher,3P_D_higher,ADJ_T_higher,WAB_higher,POSTSEASON_higher,SEED_higher,Turnover_diff_higher,E_diff_higher,ETO_Avg_higher,TEAM_lower,G_lower,W_lower,ADJOE_lower,ADJDE_lower,BARTHAG_lower,EFG_O_lower,EFG_D_lower,TOR_lower,TORD_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,2P_O_lower,2P_D_lower,3P_O_lower,3P_D_lower,ADJ_T_lower,WAB_lower,POSTSEASON_lower,SEED_lower,Turnover_diff_lower,E_diff_lower,ETO_Avg_lower
0,florida-gulf-coast,Florida Gulf Coast,Higher,UNC,2016,1.0,16.0,North Carolina,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30.0,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1.0,2.799999999999999,28.39999999999999,15.599999999999994,Florida Gulf Coast,31,17,102.9,102.4,0.5136,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,68.0,-8.4,R64,16.0,-1.299999999999999,0.5,-0.39999999999999947
1,providence,Providence,Higher,UNC,2016,1.0,9.0,North Carolina,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30.0,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1.0,2.799999999999999,28.39999999999999,15.599999999999994,Providence,35,24,108.7,95.4,0.8193,48.0,49.3,16.1,20.6,30.4,30.3,37.3,28.0,48.0,49.8,32.1,32.3,69.3,3.4,R32,9.0,4.5,13.299999999999997,8.899999999999999
2,indiana,Indiana,Higher,UNC,2016,1.0,5.0,North Carolina,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30.0,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1.0,2.799999999999999,28.39999999999999,15.599999999999994,Indiana,35,27,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49.0,41.6,34.3,69.5,3.2,S16,5.0,-0.7000000000000028,22.89999999999999,11.099999999999994
3,notre-dame,Notre Dame,Higher,UNC,2016,1.0,6.0,North Carolina,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30.0,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1.0,2.799999999999999,28.39999999999999,15.599999999999994,Notre Dame,36,24,118.3,103.3,0.8269,54.0,49.5,15.3,14.8,32.7,32.1,32.9,26.0,52.9,46.5,37.4,36.9,65.5,2.3,E8,6.0,-0.5,15.0,7.25
4,syracuse,Syracuse,Higher,UNC,2016,1.0,10.0,North Carolina,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30.0,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1.0,2.799999999999999,28.39999999999999,15.599999999999994,Syracuse,37,23,111.9,93.6,0.8857,50.0,47.3,18.1,20.4,33.5,35.3,35.4,28.0,47.2,48.1,36.0,30.7,65.5,-0.3,F4,10.0,2.299999999999997,18.30000000000001,10.300000000000004
5,north-carolina,UNC,Lower,Villanova,2016,1.0,2.0,North Carolina,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30.0,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1.0,2.799999999999999,28.39999999999999,15.599999999999994,Villanova,40,35,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30.0,57.4,44.1,36.2,33.9,66.7,8.9,Champions,2.0,4.300000000000001,32.19999999999999,18.249999999999993
6,coastal-carolina,Coastal Carolina,Higher,Wisconsin,2015,1.0,16.0,Wisconsin,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1.0,3.4000000000000004,35.5,19.45,Coastal Carolina,30,20,104.5,103.0,0.5417,50.0,47.7,17.5,16.9,34.8,28.0,38.9,35.0,48.1,45.8,35.9,33.8,64.1,-5.1,R64,16.0,-0.6000000000000014,1.5,0.4499999999999993
7,oregon,Oregon,Higher,Wisconsin,2015,1.0,8.0,Wisconsin,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1.0,3.4000000000000004,35.5,19.45,Oregon,35,25,114.3,99.1,0.8379,52.3,48.0,16.9,16.7,30.2,31.5,29.1,35.4,50.8,47.1,36.9,33.2,66.9,3.0,R32,8.0,-0.1999999999999993,15.200000000000003,7.500000000000002
8,north-carolina,UNC,Higher,Wisconsin,2015,1.0,4.0,Wisconsin,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1.0,3.4000000000000004,35.5,19.45,North Carolina,38,26,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40.0,31.2,35.2,37.8,50.9,45.6,35.8,30.0,69.9,6.5,S16,4.0,-0.5,27.099999999999994,13.299999999999997
9,arizona,Arizona,Higher,Wisconsin,2015,1.0,2.0,Wisconsin,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1.0,3.4000000000000004,35.5,19.45,Arizona,38,34,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36.0,33.5,66.7,9.0,E8,2.0,4.100000000000001,30.599999999999994,17.349999999999998
10,kentucky,Kentucky,Lower,Wisconsin,2015,1.0,1.0,Wisconsin,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1.0,3.4000000000000004,35.5,19.45,Kentucky,39,38,120.3,84.0,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,F4,1.0,5.0,36.3,20.65
11,wisconsin,Wisconsin,Lower,Duke,2015,1.0,1.0,Duke,39,35,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,Champions,1.0,2.3000000000000007,34.60000000000001,18.450000000000003,Wisconsin,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1.0,3.4000000000000004,35.5,19.45
12,montana,Montana,Higher,Michigan,2018,3.0,14.0,Michigan,40,33,114.4,90.4,0.9375,53.9,47.7,14.0,19.5,25.5,24.9,30.7,30.0,54.7,46.8,35.2,33.2,65.9,6.9,2ND,3.0,5.5,24.0,14.75,Montana,32,26,106.7,98.4,0.7184,51.2,48.4,17.4,21.2,33.5,26.1,38.3,41.4,51.4,46.3,33.7,35.2,69.1,-1.1,R64,14.0,3.8000000000000007,8.299999999999997,6.049999999999999
13,houston,Houston,Higher,Michigan,2018,3.0,6.0,Michigan,40,33,114.4,90.4,0.9375,53.9,47.7,14.0,19.5,25.5,24.9,30.7,30.0,54.7,46.8,35.2,33.2,65.9,6.9,2ND,3.0,5.5,24.0,14.75,Houston,35,27,114.8,93.9,0.9097,53.3,45.5,17.5,19.1,33.8,25.8,32.6,41.6,50.5,43.8,38.7,32.3,69.4,2.4,R32,6.0,1.6000000000000014,20.89999999999999,11.249999999999996
14,texas-am,Texas A&M,Higher,Michigan,2018,3.0,7.0,Michigan,40,33,114.4,90.4,0.9375,53.9,47.7,14.0,19.5,25.5,24.9,30.7,30.0,54.7,46.8,35.2,33.2,65.9,6.9,2ND,3.0,5.5,24.0,14.75,Texas A&M,35,22,111.2,94.7,0.8640000000000001,51.4,46.9,19.2,15.3,33.9,27.3,32.0,27.6,52.5,45.7,32.9,32.6,70.3,1.9,S16,7.0,-3.8999999999999986,16.5,6.300000000000001
15,florida-state,Florida State,Higher,Michigan,2018,3.0,9.0,Michigan,40,33,114.4,90.4,0.9375,53.9,47.7,14.0,19.5,25.5,24.9,30.7,30.0,54.7,46.8,35.2,33.2,65.9,6.9,2ND,3.0,5.5,24.0,14.75,Florida St.,35,23,113.2,96.4,0.8631,53.2,48.4,17.8,19.4,32.3,29.8,37.0,32.4,53.6,45.4,35.0,35.5,72.5,0.9,E8,9.0,1.5999999999999979,16.799999999999997,9.199999999999998
16,loyola-il,Loyola (IL),Higher,Michigan,2018,3.0,11.0,Michigan,40,33,114.4,90.4,0.9375,53.9,47.7,14.0,19.5,25.5,24.9,30.7,30.0,54.7,46.8,35.2,33.2,65.9,6.9,2ND,3.0,5.5,24.0,14.75,Loyola Chicago,37,32,110.5,95.4,0.8444,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32.0,66.4,2.0,F4,11.0,0.29999999999999716,15.099999999999994,7.699999999999996
17,michigan,Michigan,Higher,Villanova,2018,1.0,3.0,Villanova,40,36,128.4,94.1,0.9725,59.5,48.5,15.0,18.2,29.6,27.1,29.4,26.7,59.0,49.0,40.1,31.7,69.6,10.6,Champions,1.0,3.1999999999999993,34.30000000000001,18.750000000000007,Michigan,40,33,114.4,90.4,0.9375,53.9,47.7,14.0,19.5,25.5,24.9,30.7,30.0,54.7,46.8,35.2,33.2,65.9,6.9,2ND,3.0,5.5,24.0,14.75
18,northern-kentucky,Northern Kentucky,Higher,Texas Tech,2019,3.0,14.0,Texas Tech,38,31,115.2,85.2,0.9696,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7.0,2ND,3.0,5.100000000000001,30.0,17.55,Northern Kentucky,33,26,107.8,101.3,0.6719,54.6,49.1,17.8,18.4,30.6,26.0,34.8,35.2,55.0,49.9,36.0,32.0,69.3,-2.2,R64,14.0,0.5999999999999979,6.5,3.549999999999999
19,buffalo,Buffalo,Higher,Texas Tech,2019,3.0,6.0,Texas Tech,38,31,115.2,85.2,0.9696,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7.0,2ND,3.0,5.100000000000001,30.0,17.55,Buffalo,35,32,113.6,95.3,0.8819,53.4,47.3,16.0,20.3,31.7,26.9,32.7,31.9,55.7,49.3,33.7,29.3,74.9,5.5,R32,6.0,4.300000000000001,18.299999999999997,11.299999999999999
20,michigan,Michigan,Lower,Texas Tech,2019,2.0,3.0,Michigan,37,30,114.6,85.6,0.9665,51.6,44.1,13.9,18.0,24.7,24.8,27.5,24.1,51.8,44.3,34.2,29.1,65.9,9.2,S16,2.0,4.1,29.0,16.55,Texas Tech,38,31,115.2,85.2,0.9696,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7.0,2ND,3.0,5.100000000000001,30.0,17.55
21,gonzaga,Gonzaga,Lower,Texas Tech,2019,1.0,3.0,Gonzaga,37,33,123.4,89.9,0.9744,59.0,44.2,14.9,19.0,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,72.0,7.0,E8,1.0,4.1,33.5,18.8,Texas Tech,38,31,115.2,85.2,0.9696,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7.0,2ND,3.0,5.100000000000001,30.0,17.55
22,michigan-state,Michigan State,Lower,Texas Tech,2019,2.0,3.0,Michigan St.,39,32,119.9,91.0,0.9597,55.2,43.9,18.5,14.9,33.9,26.4,33.6,27.5,54.3,41.9,37.8,31.6,68.6,10.7,F4,2.0,-3.5999999999999996,28.900000000000006,12.650000000000002,Texas Tech,38,31,115.2,85.2,0.9696,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7.0,2ND,3.0,5.100000000000001,30.0,17.55
23,texas-tech,Texas Tech,Higher,Virginia,2019,1.0,3.0,Virginia,38,35,123.0,89.9,0.9736,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,11.1,Champions,1.0,2.8000000000000007,33.099999999999994,17.949999999999996,Texas Tech,38,31,115.2,85.2,0.9696,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,7.0,2ND,3.0,5.100000000000001,30.0,17.55
24,south-dakota-state,South Dakota State,Higher,Gonzaga,2017,1.0,16.0,Gonzaga,39,37,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30.0,26.2,39.0,26.9,56.3,40.0,38.2,29.0,71.5,7.7,2ND,1.0,0.9000000000000021,31.5,16.200000000000003,South Dakota St.,33,18,108.2,109.7,0.4612,53.2,53.8,18.4,16.2,27.1,28.9,39.9,27.1,52.7,52.4,35.8,36.9,68.5,-9.8,R64,16.0,-2.1999999999999993,-1.5,-1.8499999999999996
25,northwestern,Northwestern,Higher,Gonzaga,2017,1.0,8.0,Gonzaga,39,37,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30.0,26.2,39.0,26.9,56.3,40.0,38.2,29.0,71.5,7.7,2ND,1.0,0.9000000000000021,31.5,16.200000000000003,Northwestern,36,24,111.2,95.2,0.8564,49.7,46.1,16.0,17.9,30.8,30.6,30.5,36.1,48.8,44.0,34.2,33.3,66.9,2.0,R32,8.0,1.8999999999999986,16.0,8.95
26,west-virginia,West Virginia,Higher,Gonzaga,2017,1.0,4.0,Gonzaga,39,37,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30.0,26.2,39.0,26.9,56.3,40.0,38.2,29.0,71.5,7.7,2ND,1.0,0.9000000000000021,31.5,16.200000000000003,West Virginia,37,28,115.4,89.3,0.9498,51.3,48.8,17.0,27.6,37.9,31.9,38.9,42.5,49.8,46.5,36.2,35.3,72.2,6.4,S16,4.0,10.600000000000001,26.10000000000001,18.350000000000005
27,xavier,Xavier,Higher,Gonzaga,2017,1.0,11.0,Gonzaga,39,37,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30.0,26.2,39.0,26.9,56.3,40.0,38.2,29.0,71.5,7.7,2ND,1.0,0.9000000000000021,31.5,16.200000000000003,Xavier,38,24,115.6,97.9,0.8713,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52.0,52.5,34.5,33.4,68.4,1.6,E8,11.0,-0.8999999999999986,17.69999999999999,8.399999999999995
28,south-carolina,South Carolina,Higher,Gonzaga,2017,1.0,7.0,Gonzaga,39,37,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30.0,26.2,39.0,26.9,56.3,40.0,38.2,29.0,71.5,7.7,2ND,1.0,0.9000000000000021,31.5,16.200000000000003,South Carolina,36,26,108.7,89.0,0.9083,47.3,45.5,18.4,24.3,34.0,31.6,40.2,44.5,45.9,45.4,33.4,30.6,69.6,1.7,F4,7.0,5.900000000000002,19.700000000000003,12.800000000000002
29,gonzaga,Gonzaga,Lower,UNC,2017,1.0,1.0,North Carolina,39,33,121.0,91.5,0.9615,51.7,48.1,16.2,18.6,41.3,25.0,34.3,31.6,51.0,46.3,35.5,33.9,72.8,8.4,Champions,1.0,2.400000000000002,29.5,15.950000000000001,Gonzaga,39,37,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30.0,26.2,39.0,26.9,56.3,40.0,38.2,29.0,71.5,7.7,2ND,1.0,0.9000000000000021,31.5,16.200000000000003
30,kansas-state,Kansas State,Higher,Kentucky,2014,8.0,9.0,Kentucky,40,29,117.2,96.2,0.9062,49.9,46.0,18.1,16.1,42.0,29.7,51.8,36.8,50.0,44.9,33.2,32.2,65.9,3.9,2ND,8.0,-2.0,21.0,9.5,Kansas St.,33,20,107.9,92.9,0.8473,48.8,45.3,18.5,19.0,34.7,33.2,40.3,45.4,48.3,45.9,33.1,29.3,64.8,0.5,R64,9.0,0.5,15.0,7.75
31,wichita-state,Wichita State,Lower,Kentucky,2014,1.0,8.0,Wichita St.,35,34,116.4,93.0,0.9295,52.4,44.7,16.2,18.2,35.0,26.2,46.9,35.7,52.3,43.6,35.0,31.1,65.1,8.1,R32,1.0,2.0,23.400000000000006,12.700000000000003,Kentucky,40,29,117.2,96.2,0.9062,49.9,46.0,18.1,16.1,42.0,29.7,51.8,36.8,50.0,44.9,33.2,32.2,65.9,3.9,2ND,8.0,-2.0,21.0,9.5
