winner,SEED_higher,SEED_lower,TEAM_higher,G_higher,W_higher,ADJOE_higher,ADJDE_higher,BARTHAG_higher,EFG_O_higher,EFG_D_higher,TOR_higher,TORD_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,2P_O_higher,2P_D_higher,3P_O_higher,3P_D_higher,ADJ_T_higher,WAB_higher,SEED_higher.1,Turnover_diff_higher,TEAM_lower,G_lower,W_lower,ADJOE_lower,ADJDE_lower,BARTHAG_lower,EFG_O_lower,EFG_D_lower,TOR_lower,TORD_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,2P_O_lower,2P_D_lower,3P_O_lower,3P_D_lower,ADJ_T_lower,WAB_lower,SEED_lower.1,Turnover_diff_lower
Higher,1,16,Auburn,33,30,129.2,93.8,0.9754,55.7,46,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,67.9,12.5,1,2.8,Alabama St.,34,19,100.5,109.6,0.2698,47.1,50.3,13.2,18.6,28.3,31.1,29.9,38.7,45.4,50.4,32.9,33.4,67.6,-10.2,16,4
Lower,8,9,Louisville,34,27,118.4,94.8,0.928,53.4,49.2,16.5,18.6,32.2,27.2,34.5,26.8,57,48.3,33,33.7,68.9,5.6,8,1.4,Creighton,34,24,117.4,98.5,0.8831,55.8,47,18.1,11.7,26.9,27.2,28.5,16.9,60.5,45.8,33.9,32.7,67.3,3,9,-4.3
Higher,5,12,Michigan,34,25,115.2,94.5,0.9063,54.5,46.3,19.8,16,33.2,29.8,35,28.5,57.7,45.9,33.4,31.3,69.5,6.2,5,-2.7,UC San Diego,34,30,113.2,97.3,0.8516,55.4,47.7,13.4,23.3,25.6,28.4,33.8,29.8,56.1,46.2,36.5,33.1,65.9,1,12,7.2
Higher,4,13,Texas A&M,32,22,115.7,93.2,0.9231,47.5,48.2,18.2,19.7,42,27.8,41.7,35.3,48,46.5,31.1,33.4,66.2,5.2,4,1.1,Yale,29,22,114.1,103.8,0.7464,54.8,48.8,14.4,16.1,33.2,25.8,32,28.7,53.4,47.3,38.5,33.7,67.3,-2.6,13,1.3
Higher,6,11,Mississippi,33,22,117.5,97.1,0.899,51.1,50.5,12.8,20.5,25.4,30.8,35.6,39.5,51,51.6,34.1,32.7,68.1,4.8,6,5.4,North Carolina,35,22,118.8,99.8,0.8814,54.2,49.6,15.1,15.2,29.2,27.1,34.8,30,54.9,49.2,35.3,33.5,70.6,1.4,11,0
Higher,3,14,Iowa St.,33,24,119,92.5,0.9476,54.6,48.4,16.9,21.8,32.2,28.4,38.5,28.9,55.1,47.5,35.8,33.2,68.7,5.4,3,3.5,Lipscomb,34,25,110.8,104.3,0.6687,55.9,48.6,14.4,15.9,24,26.5,31.4,22.3,56.7,49.9,36.7,31,66.2,-4.1,14,1.6
Lower,7,10,Marquette,33,23,116.7,96.6,0.8976,52,49.9,13.5,21.5,30.1,31,26.1,30.2,54.9,51.3,32.5,31.8,67.8,3.6,7,5.5,New Mexico,33,26,111.6,95.3,0.8591,50.8,49.2,15.6,20.5,31.5,25.6,37.8,35,50.6,48.2,34.1,33.8,73.2,2.5,10,3.9
Higher,2,15,Michigan St.,33,27,116.9,92,0.9403,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,53.6,49.1,30.8,27.9,68,7.9,2,-0.1,Bryant,34,23,105.9,105.4,0.5122,51,47.7,16.5,16.4,34.2,28.8,30.4,30,51.5,47.3,33.4,32.2,72.4,-7.1,15,0.1
Higher,1,16,Florida,34,30,127.8,94.1,0.9712,55,45.3,15,17,38.1,28.8,32.6,33,56.4,45.9,35.5,29.6,69.6,11.2,1,1.4,Norfolk St.,34,24,106.4,109.1,0.4276,52.4,49.7,18.3,18.6,32.8,33.8,39,34.9,54.5,48.9,31.3,33.9,66.4,-5.3,16,0.8
Higher,8,9,Connecticut,33,23,121.6,102.1,0.8819,55.5,48.3,17.1,15.5,35.6,27.4,30.6,40,57.3,46,35.4,35.1,63.9,2.2,8,-1.1,Oklahoma,33,20,117.7,101,0.8534,54.9,51.1,17.3,18.1,26.5,31.7,39.6,35.8,54.6,54.9,37,30.5,68.5,2.1,9,0.6
Lower,5,12,Memphis,34,29,111.9,98.8,0.806,53.6,48.5,19.2,19.1,35.1,32.3,39.4,33.6,52,48.6,38,32.2,70.8,4.9,5,-0.1,Colorado St.,34,25,116.6,98.9,0.8691,55.8,48.5,17.4,16.7,26.4,25.3,31.8,33.6,56.5,47.7,36.6,33.1,66.1,0.6,12,-0.4
Higher,4,13,Maryland,33,25,117.9,92.1,0.9447,53.8,47,14.5,20.2,31,27.2,32.9,25.9,52.7,47.6,37.2,30.7,70,4.6,4,4.1,Grand Canyon,33,26,108.6,99.7,0.7283,51.2,47,18.4,20.6,32.5,28.6,43.9,32.2,53.2,46.4,31.6,32.1,71.6,-2.5,13,1.9
Lower,6,11,Missouri,33,22,127.1,101,0.9336,56.2,50.7,15.2,20,33.7,32.2,46.8,35.3,56.7,51.1,37,33.4,68.2,3.1,6,3.4,Drake,33,30,112.9,98.5,0.8274,53.8,51.7,18.6,22.1,36,25.8,43,35.8,54.6,54.3,35,31.8,58.7,2.5,11,2.6
Higher,3,14,Texas Tech,33,25,126.1,96.9,0.9536,55.5,48,14.8,17.4,34.3,28.5,29.7,33.5,54.3,48.2,37.9,31.7,65.7,5.8,3,1.8,UNC Wilmington,34,27,112.4,106.9,0.641,52.2,50.9,16,17.4,35.4,28.1,37.8,30.3,53.8,50.4,33,34.4,65.3,-3.2,14,0.7
Lower,7,10,Kansas,33,21,116.2,93.2,0.9261,53.1,46.2,16.7,15.6,30.4,27.5,24.3,28,53.4,46.1,35.2,30.9,68.4,4.1,7,-0.8,Arkansas,33,20,112,95.6,0.8608,52.7,48.3,16.5,17.5,27.6,28.3,35.5,29.4,54.4,48.5,33.3,31.9,69.4,1.3,10,0.7
