winner,SEED_higher,SEED_lower,TEAM_higher,G_higher,W_higher,ADJOE_higher,ADJDE_higher,BARTHAG_higher,EFG_O_higher,EFG_D_higher,TOR_higher,TORD_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,2P_O_higher,2P_D_higher,3P_O_higher,3P_D_higher,ADJ_T_higher,WAB_higher,SEED_higher,Turnover_diff_higher,TEAM_lower,G_lower,W_lower,ADJOE_lower,ADJDE_lower,BARTHAG_lower,EFG_O_lower,EFG_D_lower,TOR_lower,TORD_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,2P_O_lower,2P_D_lower,3P_O_lower,3P_D_lower,ADJ_T_lower,WAB_lower,SEED_lower,Turnover_diff_lower
Higher,,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,Norfolk St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,Oklahoma,,,,,,,,,,,,,,,,,,,,,
Higher,,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,Creighton,,,,,,,,,,,,,,,,,,,,,
Higher,,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,USC,,,,,,,,,,,,,,,,,,,,,
Higher,,,Norfolk St.,,,,,,,,,,,,,,,,,,,,,,Appalachian St.,,,,,,,,,,,,,,,,,,,,,
Lower,,,Wichita St.,,,,,,,,,,,,,,,,,,,,,,Drake,,,,,,,,,,,,,,,,,,,,,
Lower,,,Michigan St.,,,,,,,,,,,,,,,,,,,,,,UCLA,,,,,,,,,,,,,,,,,,,,,
Lower,,,Mount St. Mary's,,,,,,,,,,,,,,,,,,,,,,Texas Southern,,,,,,,,,,,,,,,,,,,,,
Higher,,,Oklahoma,,,,,,,,,,,,,,,,,,,,,,Missouri,,,,,,,,,,,,,,,,,,,,,
Higher,,,Creighton,,,,,,,,,,,,,,,,,,,,,,UC Santa Barbara,,,,,,,,,,,,,,,,,,,,,
Higher,,,Creighton,,,,,,,,,,,,,,,,,,,,,,Ohio,,,,,,,,,,,,,,,,,,,,,
Lower,,,Virginia,,,,,,,,,,,,,,,,,,,,,,Ohio,,,,,,,,,,,,,,,,,,,,,
Higher,,,USC,,,,,,,,,,,,,,,,,,,,,,Drake,,,,,,,,,,,,,,,,,,,,,
Higher,,,USC,,,,,,,,,,,,,,,,,,,,,,Kansas,,,,,,,,,,,,,,,,,,,,,
Higher,,,USC,,,,,,,,,,,,,,,,,,,,,,Oregon,,,,,,,,,,,,,,,,,,,,,
Higher,,,Kansas,,,,,,,,,,,,,,,,,,,,,,Eastern Washington,,,,,,,,,,,,,,,,,,,,,
Higher,,,Oregon,,,,,,,,,,,,,,,,,,,,,,VCU,,,,,,,,,,,,,,,,,,,,,
Lower,,,Iowa,,,,,,,,,,,,,,,,,,,,,,Oregon,,,,,,,,,,,,,,,,,,,,,
Higher,,,Iowa,,,,,,,,,,,,,,,,,,,,,,Grand Canyon,,,,,,,,,,,,,,,,,,,,,
Higher,,,Michigan,,,,,,,,,,,,,,,,,,,,,,Texas Southern,,,,,,,,,,,,,,,,,,,,,
Higher,,,Michigan,,,,,,,,,,,,,,,,,,,,,,LSU,,,,,,,,,,,,,,,,,,,,,
Higher,,,Michigan,,,,,,,,,,,,,,,,,,,,,,Florida St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Michigan,,,,,,,,,,,,,,,,,,,,,,UCLA,,,,,,,,,,,,,,,,,,,,,
Higher,,,LSU,,,,,,,,,,,,,,,,,,,,,,St. Bonaventure,,,,,,,,,,,,,,,,,,,,,
Higher,,,Colorado,,,,,,,,,,,,,,,,,,,,,,Georgetown,,,,,,,,,,,,,,,,,,,,,
Higher,,,Florida St.,,,,,,,,,,,,,,,,,,,,,,UNC Greensboro,,,,,,,,,,,,,,,,,,,,,
Higher,,,Florida St.,,,,,,,,,,,,,,,,,,,,,,Colorado,,,,,,,,,,,,,,,,,,,,,
Lower,,,BYU,,,,,,,,,,,,,,,,,,,,,,UCLA,,,,,,,,,,,,,,,,,,,,,
Higher,,,UCLA,,,,,,,,,,,,,,,,,,,,,,Abilene Christian,,,,,,,,,,,,,,,,,,,,,
Lower,,,Alabama,,,,,,,,,,,,,,,,,,,,,,UCLA,,,,,,,,,,,,,,,,,,,,,
Lower,,,Michigan,,,,,,,,,,,,,,,,,,,,,,UCLA,,,,,,,,,,,,,,,,,,,,,
Lower,,,Maryland,,,,,,,,,,,,,,,,,,,,,,Connecticut,,,,,,,,,,,,,,,,,,,,,
Higher,,,Alabama,,,,,,,,,,,,,,,,,,,,,,Iona,,,,,,,,,,,,,,,,,,,,,
Higher,,,Alabama,,,,,,,,,,,,,,,,,,,,,,Maryland,,,,,,,,,,,,,,,,,,,,,
Higher,,,Baylor,,,,,,,,,,,,,,,,,,,,,,Hartford,,,,,,,,,,,,,,,,,,,,,
Higher,,,Baylor,,,,,,,,,,,,,,,,,,,,,,Wisconsin,,,,,,,,,,,,,,,,,,,,,
Higher,,,Baylor,,,,,,,,,,,,,,,,,,,,,,Villanova,,,,,,,,,,,,,,,,,,,,,
Higher,,,Baylor,,,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,,,,,,,,,,,,,
Lower,,,North Carolina,,,,,,,,,,,,,,,,,,,,,,Wisconsin,,,,,,,,,,,,,,,,,,,,,
Higher,,,Villanova,,,,,,,,,,,,,,,,,,,,,,Winthrop,,,,,,,,,,,,,,,,,,,,,
Higher,,,Villanova,,,,,,,,,,,,,,,,,,,,,,North Texas,,,,,,,,,,,,,,,,,,,,,
Lower,,,North Texas,,,,,,,,,,,,,,,,,,,,,,Purdue,,,,,,,,,,,,,,,,,,,,,
Higher,,,Texas Tech,,,,,,,,,,,,,,,,,,,,,,Utah St.,,,,,,,,,,,,,,,,,,,,,
Higher,,,Arkansas,,,,,,,,,,,,,,,,,,,,,,Colgate,,,,,,,,,,,,,,,,,,,,,
