winner,SEED_higher,SEED_lower,TEAM_higher,G_higher,W_higher,ADJOE_higher,ADJDE_higher,BARTHAG_higher,EFG_O_higher,EFG_D_higher,TOR_higher,TORD_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,2P_O_higher,2P_D_higher,3P_O_higher,3P_D_higher,ADJ_T_higher,WAB_higher,SEED_higher,Turnover_diff_higher,TEAM_lower,G_lower,W_lower,ADJOE_lower,ADJDE_lower,BARTHAG_lower,EFG_O_lower,EFG_D_lower,TOR_lower,TORD_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,2P_O_lower,2P_D_lower,3P_O_lower,3P_D_lower,ADJ_T_lower,WAB_lower,SEED_lower,Turnover_diff_lower
,,,Auburn,,,,,,,,,,,,,,,,,,,,,,Alabama St.,,,,,,,,,,,,,,,,,,,,,
,,,Louisville,,,,,,,,,,,,,,,,,,,,,,Creighton,,,,,,,,,,,,,,,,,,,,,
,,,Michigan,,,,,,,,,,,,,,,,,,,,,,UC San Diego,,,,,,,,,,,,,,,,,,,,,
,,,Texas A&M,,,,,,,,,,,,,,,,,,,,,,Yale,,,,,,,,,,,,,,,,,,,,,
,,,Mississippi,,,,,,,,,,,,,,,,,,,,,,North Carolina,,,,,,,,,,,,,,,,,,,,,
,,,Iowa St.,,,,,,,,,,,,,,,,,,,,,,Lipscomb,,,,,,,,,,,,,,,,,,,,,
,,,Marquette,,,,,,,,,,,,,,,,,,,,,,New Mexico,,,,,,,,,,,,,,,,,,,,,
,,,Michigan St.,,,,,,,,,,,,,,,,,,,,,,Bryant,,,,,,,,,,,,,,,,,,,,,
,,,Florida,,,,,,,,,,,,,,,,,,,,,,Norfolk St.,,,,,,,,,,,,,,,,,,,,,
,,,Connecticut,,,,,,,,,,,,,,,,,,,,,,Oklahoma,,,,,,,,,,,,,,,,,,,,,
,,,Memphis,,,,,,,,,,,,,,,,,,,,,,Colorado St.,,,,,,,,,,,,,,,,,,,,,
,,,Maryland,,,,,,,,,,,,,,,,,,,,,,Grand Canyon,,,,,,,,,,,,,,,,,,,,,
,,,Missouri,,,,,,,,,,,,,,,,,,,,,,Drake,,,,,,,,,,,,,,,,,,,,,
,,,Texas Tech,,,,,,,,,,,,,,,,,,,,,,UNC Wilmington,,,,,,,,,,,,,,,,,,,,,
,,,Kansas,,,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,,,,,,,,,,,,,
,,,St. John's,,,,,,,,,,,,,,,,,,,,,,Omaha,,,,,,,,,,,,,,,,,,,,,
,,,Florida,,,,,,,,,,,,,,,,,,,,,,Connecticut,,,,,,,,,,,,,,,,,,,,,
,,,Maryland,,,,,,,,,,,,,,,,,,,,,,Colorado St.,,,,,,,,,,,,,,,,,,,,,
,,,Texas Tech,,,,,,,,,,,,,,,,,,,,,,Drake,,,,,,,,,,,,,,,,,,,,,
,,,St. John's,,,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,,,,,,,,,,,,,
,,,Auburn,,,,,,,,,,,,,,,,,,,,,,Creighton,,,,,,,,,,,,,,,,,,,,,
,,,Texas A&M,,,,,,,,,,,,,,,,,,,,,,Michigan,,,,,,,,,,,,,,,,,,,,,
,,,Iowa St.,,,,,,,,,,,,,,,,,,,,,,Mississippi,,,,,,,,,,,,,,,,,,,,,
,,,Michigan St.,,,,,,,,,,,,,,,,,,,,,,New Mexico,,,,,,,,,,,,,,,,,,,,,
,,,Duke,,,,,,,,,,,,,,,,,,,,,,Mount St. Mary's,,,,,,,,,,,,,,,,,,,,,
,,,Mississippi St.,,,,,,,,,,,,,,,,,,,,,,Baylor,,,,,,,,,,,,,,,,,,,,,
,,,Oregon,,,,,,,,,,,,,,,,,,,,,,Liberty,,,,,,,,,,,,,,,,,,,,,
,,,Arizona,,,,,,,,,,,,,,,,,,,,,,Akron,,,,,,,,,,,,,,,,,,,,,
,,,BYU,,,,,,,,,,,,,,,,,,,,,,VCU,,,,,,,,,,,,,,,,,,,,,
,,,Wisconsin,,,,,,,,,,,,,,,,,,,,,,Montana,,,,,,,,,,,,,,,,,,,,,
,,,Saint Mary's,,,,,,,,,,,,,,,,,,,,,,Vanderbilt,,,,,,,,,,,,,,,,,,,,,
,,,Alabama,,,,,,,,,,,,,,,,,,,,,,Robert Morris,,,,,,,,,,,,,,,,,,,,,
